tissue,image_id,energy_orig,energy_norm,point_orig,point_norm,iou_orig,iou_norm
Adrenal_gland,img_Adrenal_gland_2_01054.png,0.9625974789366067,0.24370504771434204,1.0,0.0,0.0031078421212982657,0.008314743458901364
Adrenal_gland,img_Adrenal_gland_3_01095.png,0.8467796754138613,0.4354593504629757,1.0,1.0,0.006203769982804122,0.014128105404069521
Adrenal_gland,img_Adrenal_gland_3_01455.png,0.8860294932916606,0.2335731661858619,1.0,0.0,0.053707985051803665,0.06834186938726923
Adrenal_gland,img_Adrenal_gland_1_01273.png,0.9276015140936371,0.45845890794330135,1.0,1.0,0.0645060032908651,0.01566620133273878
Bile-duct,img_Bile-duct_3_01541.png,0.8946690086649604,0.3879584354249127,1.0,0.0,0.1282032720335744,0.08529607451195635
Bile-duct,img_Bile-duct_3_01508.png,0.9999998903984625,0.9999999870168181,1.0,1.0,0.0001068115234358702,0.0004730224609302823
Bile-duct,img_Bile-duct_2_01283.png,0.8333217083359472,0.3888955666028884,1.0,0.0,0.06473639287868581,0.058203991127235524
Bile-duct,img_Bile-duct_1_01478.png,0.7605431167250946,0.4745984608217988,1.0,1.0,0.09645010046077945,0.07585806664932365
Bile-duct,img_Bile-duct_2_01422.png,0.8159706548648651,0.15444944259452595,1.0,0.0,0.01706635280019621,0.03170703170332198
Bile-duct,img_Bile-duct_1_01638.png,0.6411975873211471,0.46640120300130095,1.0,0.0,0.028356322469178637,0.041187687276426715
Bile-duct,img_Bile-duct_1_01633.png,0.8673439352786053,0.056710934588988654,1.0,0.0,0.07461842846958214,0.007682177346865193
Bile-duct,img_Bile-duct_1_01614.png,0.0,0.9999999985677838,1.0,1.0,0.0,0.0019226074218456634
Bile-duct,img_Bile-duct_3_01548.png,0.7520329813760922,0.22153739124984084,1.0,1.0,0.09235729184669879,0.02215362265804365
Bile-duct,img_Bile-duct_1_01646.png,0.5849166770534067,0.34292537515277294,1.0,0.0,0.07802964253443335,0.012134502922202558
Bile-duct,img_Bile-duct_3_01344.png,0.7234164775332546,0.3868557298644598,1.0,0.0,0.277595081478582,0.15988593154880318
